Image,Parent,Numeral,Name,radius,semi_major_axis,orbital_period,Discovery_year,Discovered_by,Notes,Ref(s)
"","Jupiter","XXVI (26)","Isonoe","2","23,155,000","726.23 (r)","2000","Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans","Retrograde irregular (Carme)","[15]"
"","Jupiter","XXVII (27)","Praxidike","3.5","20,908,000","625.39 (r)","2000","Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans","Retrograde irregular (Ananke)","[15]"
"","Jupiter","XXVIII (28)","Autonoe","2","24,046,000","760.95 (r)","2001","Sheppard, Jewitt, Kleyna","Retrograde irregular (Pasiphae)",""
"","Jupiter","XXIX (29)","Thyone","2","20,939,000","627.21 (r)","2001","Sheppard, Jewitt, Kleyna","Retrograde irregular (Ananke)","[15]"
"","Jupiter","XXX (30)","Hermippe","2","21,131,000","633.9 (r)","2001","Sheppard, Jewitt, Kleyna","Retrograde irregular (Ananke)","[15]"
"","Jupiter","XXXI (31)","Aitne","1.5","23,229,000","730.18 (r)","2001","Sheppard, Jewitt, Kleyna","Retrograde irregular (Carme)","[15]"
"","Jupiter","XXXII (32)","Eurydome","1.5","22,865,000","717.33 (r)","2001","Sheppard, Jewitt, Kleyna","Retrograde irregular (Pasiphae)","[15]"
"","Jupiter","XXXIII (33)","Euanthe","1.5","20,797,000","620.49 (r)","2001","Sheppard, Jewitt, Kleyna","Retrograde irregular (Ananke)","[15]"
"","Jupiter","XXXIV (34)","Euporie","1","19,304,000","550.74 (r)","2001","Sheppard, Jewitt, Kleyna","Retrograde irregular (Ananke)","[15]"
"","Jupiter","XXXV (35)","Orthosie","1","20,720,000","622.56 (r)","2001","Sheppard, Jewitt, Kleyna","Retrograde irregular (Ananke)","[15]"
"","Jupiter","XXXVI (36)","Sponde","1","23,487,000","748.34 (r)","2001","Sheppard, Jewitt, Kleyna","Retrograde irregular (Pasiphae)","[15]"
"","Jupiter","XXXVII (37)","Kale","1","23,217,000","729.47 (r)","2001","Sheppard, Jewitt, Kleyna","Retrograde irregular (Carme)","[15]"
"","Jupiter","XXXVIII (38)","Pasithee","1","23,004,000","719.44 (r)","2001","Sheppard, Jewitt, Kleyna","Retrograde irregular (Carme)","[15]"
"","Jupiter","XXXIX (39)","Hegemone","1.5","23,577,000","739.88 (r)","2003","Sheppard, Jewitt, Kleyna, Fernández","Retrograde irregular (Pasiphae)","[15]"
"","Jupiter","XL (40)","Mneme","1","21,035,000","620.04 (r)","2003","Gladman, Allen","Retrograde irregular (Ananke)","[15]"
"","Jupiter","XLI (41)","Aoede","2","23,980,000","761.50 (r)","2003","Sheppard, Jewitt, Kleyna, Fernández, Hsieh","Retrograde irregular (Pasiphae)","[15]"
"","Jupiter","XLII (42)","Thelxinoe","1","21,164,000","628.09 (r)","2003","Sheppard, Jewitt, Kleyna, Gladman, Kavelaars, Petit, Allen","Retrograde irregular (Ananke)","[15]"
"","Jupiter","XLIII (43)","Arche","1.5","23,355,000","731.95 (r)","2002","Sheppard, Meech, Hsieh, Tholen, Tonry","Retrograde irregular (Carme)","[15]"
"","Jupiter","XLIV (44)","Kallichore","1","23,288,000","728.73 (r)","2003","Sheppard, Jewitt, Kleyna, Fernández","Retrograde irregular (Carme)","[15]"
"","Jupiter","XLV (45)","Helike","2","21,069,000","626.32 (r)","2003","Sheppard, Jewitt, Kleyna, Fernández, Hsieh","Retrograde irregular (Ananke)","[15]"
